date,store_id,product_id,inventory_level,units_sold,units_ordered
1/1/2022,S001,P0016,189,127,125
1/1/2022,S001,P0017,70,64,68
1/1/2022,S001,P0031,75,48,39
1/1/2022,S001,P0046,139,117,110
1/1/2022,S001,P0057,142,115,112
1/1/2022,S001,P0061,180,94,83
1/1/2022,S001,P0066,190,138,116
1/1/2022,S001,P0067,101,93,92
1/1/2022,S001,P0068,70,44,48
1/1/2022,S001,P0069,58,53,42
1/1/2022,S001,P0070,99,59,51
1/1/2022,S001,P0079,130,100,116
1/1/2022,S001,P0083,151,99,86
1/1/2022,S001,P0085,154,92,74
1/1/2022,S001,P0094,147,65,76
1/1/2022,S001,P0096,158,134,142
1/1/2022,S001,P0116,53,63,52
1/1/2022,S001,P0125,169,101,84
1/1/2022,S001,P0126,290,235,211
1/1/2022,S001,P0129,135,66,69
1/1/2022,S001,P0133,131,80,72
1/1/2022,S001,P0149,133,76,69
1/1/2022,S001,P0153,166,119,119
1/1/2022,S001,P0159,161,74,71
1/1/2022,S001,P0166,231,123,138
1/1/2022,S001,P0171,133,59,59
1/1/2022,S001,P0175,163,88,86
1/1/2022,S001,P0178,103,70,81
1/1/2022,S001,P0183,163,86,69
1/1/2022,S001,P0187,112,75,66
1/1/2022,S002,P0016,210,180,184
1/1/2022,S002,P0017,164,101,106
1/1/2022,S002,P0031,144,83,87
1/1/2022,S002,P0046,217,148,156
1/1/2022,S002,P0057,180,85,88
1/1/2022,S002,P0061,219,148,169
1/1/2022,S002,P0066,232,171,195
1/1/2022,S002,P0067,169,121,97
1/1/2022,S002,P0068,140,121,131
1/1/2022,S002,P0069,166,156,130
1/1/2022,S002,P0070,231,129,149
1/1/2022,S002,P0079,168,106,102
1/1/2022,S002,P0083,89,51,50
1/1/2022,S002,P0085,162,139,121
1/1/2022,S002,P0094,113,53,56
1/1/2022,S002,P0096,176,127,124
1/1/2022,S002,P0116,182,109,101
1/1/2022,S002,P0125,201,126,115
1/1/2022,S002,P0126,73,76,69
1/1/2022,S002,P0129,87,77,67
1/1/2022,S002,P0133,191,105,101
1/1/2022,S002,P0149,117,109,93
1/1/2022,S002,P0153,113,104,90
1/1/2022,S002,P0159,114,81,74
1/1/2022,S002,P0166,123,62,61
1/1/2022,S002,P0171,132,96,81
