date,store_id,product_id,inventory_level,avg_last_30_days,days_of_supply
2022-01-01,S001,P0016,189,127.0000,1.5
2022-01-02,S001,P0016,84,100.5000,0.8
2022-01-03,S001,P0016,184,128.0000,1.4
2022-01-04,S001,P0016,93,121.5000,0.8
2022-01-05,S001,P0016,186,122.8000,1.5
2022-01-06,S001,P0016,111,116.6667,1.0
2022-01-07,S001,P0016,130,107.8571,1.2
2022-01-08,S001,P0016,180,105.3750,1.7
2022-01-09,S001,P0016,162,112.3333,1.4
2022-01-10,S001,P0016,127,109.3000,1.2
2022-01-11,S001,P0016,221,115.5455,1.9
2022-01-12,S001,P0016,116,113.5000,1.0
2022-01-13,S001,P0016,126,111.4615,1.1
2022-01-14,S001,P0016,161,113.2857,1.4
2022-01-15,S001,P0016,241,116.2667,2.1
2022-01-16,S001,P0016,132,113.5625,1.2
2022-01-17,S001,P0016,290,118.0000,2.5
2022-01-18,S001,P0016,164,120.3333,1.4
2022-01-19,S001,P0016,259,123.4211,2.1
2022-01-20,S001,P0016,167,124.2500,1.3
2022-01-21,S001,P0016,199,126.6667,1.6
2022-01-22,S001,P0016,254,127.4545,2.0
2022-01-23,S001,P0016,193,129.0000,1.5
2022-01-24,S001,P0016,199,128.1250,1.6
2022-01-25,S001,P0016,151,127.5200,1.2
2022-01-01,S001,P0017,70,64.0000,1.1
2022-01-02,S001,P0017,110,85.0000,1.3
2022-01-03,S001,P0017,189,91.0000,2.1
2022-01-04,S001,P0017,194,97.7500,2.0
2022-01-05,S001,P0017,119,101.8000,1.2
2022-01-06,S001,P0017,149,93.8333,1.6
2022-01-07,S001,P0017,91,89.8571,1.0
2022-01-08,S001,P0017,98,88.5000,1.1
2022-01-09,S001,P0017,165,86.0000,1.9
2022-01-10,S001,P0017,203,93.3000,2.2
2022-01-11,S001,P0017,162,90.6364,1.8
2022-01-12,S001,P0017,158,92.5000,1.7
2022-01-13,S001,P0017,43,88.6923,0.5
2022-01-14,S001,P0017,168,90.5000,1.9
2022-01-15,S001,P0017,179,90.6667,2.0
2022-01-16,S001,P0017,138,92.0625,1.5
2022-01-17,S001,P0017,130,90.6471,1.4
2022-01-18,S001,P0017,117,89.1667,1.3
2022-01-19,S001,P0017,158,89.8947,1.8
2022-01-20,S001,P0017,189,90.9500,2.1
2022-01-21,S001,P0017,156,92.5238,1.7
2022-01-22,S001,P0017,125,92.4091,1.4
2022-01-23,S001,P0017,88,91.7391,1.0
2022-01-24,S001,P0017,150,91.6250,1.6
2022-01-25,S001,P0017,43,88.6400,0.5
2022-01-01,S001,P0031,75,48.0000,1.6
2022-01-02,S001,P0031,185,82.5000,2.2
2022-01-03,S001,P0031,218,109.6667,2.0
2022-01-04,S001,P0031,99,99.0000,1.0
2022-01-05,S001,P0031,88,100.4000,0.9
2022-01-06,S001,P0031,76,93.8333,0.8
2022-01-07,S001,P0031,151,96.4286,1.6
2022-01-08,S001,P0031,217,102.0000,2.1
2022-01-09,S001,P0031,153,102.3333,1.5
2022-01-10,S001,P0031,159,101.1000,1.6
2022-01-11,S001,P0031,96,96.0909,1.0
2022-01-12,S001,P0031,162,97.7500,1.7
