month,store_id,product_id,total_units_sold,avg_inventory,turnover_ratio,turnover_group,movement
2022-01,S005,P0159,2575,142.8387,18.0273,1,"Slow Moving"
2022-01,S004,P0031,2851,156.4194,18.2266,1,"Slow Moving"
2022-01,S004,P0129,2822,153.7097,18.3593,1,"Slow Moving"
2022-01,S002,P0079,2567,137.8710,18.6189,1,"Slow Moving"
2022-01,S004,P0079,2730,146.1290,18.6821,1,"Slow Moving"
2022-01,S001,P0153,2453,130.8387,18.7483,1,"Slow Moving"
2022-01,S003,P0183,2462,131.0323,18.7893,1,"Slow Moving"
2022-01,S002,P0085,2549,135.5484,18.8051,1,"Slow Moving"
2022-01,S005,P0031,2496,132.1613,18.8860,1,"Slow Moving"
2022-01,S004,P0096,2627,139.0645,18.8905,1,"Slow Moving"
2022-01,S003,P0159,2813,148.7742,18.9078,1,"Slow Moving"
2022-01,S004,P0085,2636,138.8065,18.9905,1,"Slow Moving"
2022-01,S005,P0096,2740,144.0645,19.0193,1,"Slow Moving"
2022-01,S004,P0183,2642,138.6129,19.0603,1,"Slow Moving"
2022-01,S005,P0070,2492,130.7419,19.0604,1,"Slow Moving"
2022-01,S001,P0094,2842,149.0000,19.0738,1,"Slow Moving"
2022-01,S004,P0094,2927,153.1613,19.1106,1,"Slow Moving"
2022-01,S004,P0083,2732,142.7742,19.1351,1,"Slow Moving"
2022-01,S002,P0183,2637,137.0323,19.2436,1,"Slow Moving"
2022-01,S003,P0017,2513,130.5161,19.2543,1,"Slow Moving"
2022-01,S005,P0068,2557,132.7419,19.2629,1,"Slow Moving"
2022-01,S004,P0153,2594,134.6129,19.2701,1,"Slow Moving"
2022-01,S005,P0083,2749,142.4839,19.2934,1,"Slow Moving"
2022-01,S001,P0129,2914,149.9677,19.4308,1,"Slow Moving"
2022-01,S001,P0070,2672,137.3548,19.4533,1,"Slow Moving"
2022-01,S003,P0116,2859,146.9032,19.4618,1,"Slow Moving"
2022-01,S002,P0070,2694,138.3548,19.4717,1,"Slow Moving"
2022-01,S002,P0153,2933,150.3226,19.5114,1,"Slow Moving"
2022-01,S002,P0129,2650,135.7742,19.5177,1,"Slow Moving"
2022-01,S003,P0096,2743,140.3226,19.5478,1,"Slow Moving"
2022-01,S002,P0116,2655,135.6452,19.5731,1,"Slow Moving"
2022-01,S003,P0070,2660,135.4194,19.6427,1,"Slow Moving"
2022-01,S005,P0079,2690,136.8710,19.6535,1,"Slow Moving"
2022-01,S005,P0171,2952,149.8387,19.7012,1,"Slow Moving"
2022-01,S002,P0175,2550,129.3871,19.7083,1,"Slow Moving"
2022-01,S004,P0166,2735,138.6129,19.7312,1,"Slow Moving"
2022-01,S003,P0171,2794,140.8710,19.8338,1,"Slow Moving"
2022-01,S003,P0031,2923,147.1613,19.8626,1,"Slow Moving"
2022-01,S004,P0159,2661,133.9677,19.8630,1,"Slow Moving"
2022-01,S003,P0068,2528,127.0968,19.8904,1,"Slow Moving"
2022-01,S001,P0068,2540,127.2903,19.9544,1,"Slow Moving"
2022-01,S002,P0096,2820,141.2581,19.9635,1,"Slow Moving"
2022-01,S004,P0070,2972,148.3871,20.0287,1,"Slow Moving"
2022-01,S001,P0079,2716,135.5484,20.0371,1,"Slow Moving"
2022-01,S002,P0067,2881,143.5484,20.0699,1,"Slow Moving"
2022-01,S003,P0153,2995,149.0000,20.1007,1,"Slow Moving"
2022-01,S001,P0017,2812,139.3548,20.1787,1,"Slow Moving"
2022-01,S005,P0067,2689,133.0000,20.2180,1,"Slow Moving"
2022-01,S001,P0183,2923,144.3871,20.2442,1,"Slow Moving"
2022-01,S001,P0159,3056,150.9355,20.2471,1,"Slow Moving"
2022-01,S004,P0068,2548,125.5806,20.2898,2,"Medium Moving"
2022-01,S003,P0166,2659,130.7742,20.3328,2,"Medium Moving"
2022-01,S001,P0175,2490,122.4194,20.3399,2,"Medium Moving"
2022-01,S005,P0129,3189,156.7742,20.3414,2,"Medium Moving"
2022-01,S002,P0149,2998,147.2903,20.3544,2,"Medium Moving"
2022-01,S002,P0068,2656,130.3871,20.3701,2,"Medium Moving"
2022-01,S004,P0067,3034,148.9032,20.3756,2,"Medium Moving"
2022-01,S004,P0116,2866,140.6452,20.3775,2,"Medium Moving"
2022-01,S004,P0175,2358,114.9677,20.5101,2,"Medium Moving"
2022-01,S002,P0083,3030,147.6774,20.5177,2,"Medium Moving"
2022-01,S005,P0149,2900,141.2903,20.5251,2,"Medium Moving"
2022-01,S005,P0153,3155,153.5484,20.5473,2,"Medium Moving"
2022-01,S002,P0094,2809,136.4516,20.5861,2,"Medium Moving"
2022-01,S004,P0017,2853,138.3226,20.6257,2,"Medium Moving"
2022-01,S001,P0166,2899,140.3226,20.6595,2,"Medium Moving"
2022-01,S005,P0166,2730,131.6774,20.7325,2,"Medium Moving"
2022-01,S002,P0171,3011,145.1613,20.7424,2,"Medium Moving"
2022-01,S005,P0183,2860,137.8710,20.7440,2,"Medium Moving"
2022-01,S003,P0079,2899,139.1613,20.8319,2,"Medium Moving"
2022-01,S005,P0116,2914,138.9032,20.9786,2,"Medium Moving"
2022-01,S001,P0149,3005,143.2258,20.9809,2,"Medium Moving"
2022-01,S001,P0031,2997,142.7742,20.9912,2,"Medium Moving"
2022-01,S003,P0085,2895,137.5484,21.0471,2,"Medium Moving"
2022-01,S001,P0096,3082,146.3871,21.0538,2,"Medium Moving"
2022-01,S005,P0125,4212,199.5484,21.1077,2,"Medium Moving"
2022-01,S003,P0083,3069,144.8710,21.1844,2,"Medium Moving"
2022-01,S004,P0171,2854,134.7097,21.1863,2,"Medium Moving"
2022-01,S001,P0116,2821,132.9032,21.2260,2,"Medium Moving"
2022-01,S004,P0057,3929,185.0968,21.2267,2,"Medium Moving"
2022-01,S003,P0016,4025,189.2258,21.2709,2,"Medium Moving"
2022-01,S004,P0069,3988,187.4839,21.2712,2,"Medium Moving"
2022-01,S005,P0085,2846,133.3871,21.3364,2,"Medium Moving"
2022-01,S004,P0149,3175,148.7419,21.3457,2,"Medium Moving"
2022-01,S003,P0178,4218,197.5161,21.3552,2,"Medium Moving"
2022-01,S001,P0171,3032,141.9355,21.3618,2,"Medium Moving"
